ProdTaken,Age,CityTier,DurationOfPitch,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Salaried,Occupation_Small Business,MaritalStatus_Married,MaritalStatus_Unmarried
1,33.0,1,9.0,1,3,4.0,2,4.0,6.0,0,4,1,2.0,0,23561.0,True,False,True,True,False
0,46.0,3,9.0,1,4,4.0,2,4.0,2.0,0,5,1,3.0,0,23483.0,True,True,False,True,False
0,39.0,1,9.0,1,3,4.0,2,3.0,2.0,0,1,1,2.0,0,25231.0,True,True,False,True,False
0,34.0,1,6.0,1,2,3.0,0,3.0,2.0,0,3,1,0.0,2,17691.0,True,True,False,False,False
0,30.0,3,17.0,1,3,4.0,0,3.0,3.0,0,4,0,1.0,2,21320.0,True,True,False,False,True
1,36.0,3,11.0,1,3,4.0,1,5.0,2.0,1,4,1,2.0,1,28260.0,True,False,False,False,True
0,40.0,1,9.0,0,4,5.0,2,3.0,3.0,0,2,1,1.0,0,23231.0,True,False,False,False,True
0,39.0,1,16.0,0,4,4.0,0,3.0,3.0,0,2,1,2.0,2,20966.0,True,True,False,False,True
0,54.0,1,25.0,0,3,3.0,2,5.0,1.0,1,3,0,2.0,0,20485.0,True,False,True,True,False
0,27.0,1,10.0,1,3,2.0,0,3.0,3.0,0,5,1,2.0,2,23098.0,True,False,True,False,False
0,36.0,1,24.0,1,3,3.0,2,3.0,3.0,0,3,0,1.0,0,22779.0,False,True,False,False,True
1,20.0,3,7.0,0,4,6.0,0,5.0,2.0,0,3,1,1.0,2,21003.0,False,False,False,False,True
0,34.0,1,14.0,0,3,3.0,2,3.0,4.0,0,4,1,1.0,0,21142.0,True,False,True,False,True
0,30.0,3,27.0,1,3,4.0,2,3.0,4.0,0,2,1,2.0,0,25609.0,True,False,True,True,False
0,33.0,3,23.0,1,2,3.0,3,3.0,2.0,0,3,1,0.0,3,32444.0,False,True,False,False,True
0,29.0,1,16.0,1,4,4.0,0,3.0,3.0,0,2,1,2.0,2,20748.0,True,False,True,False,False
0,30.0,1,17.0,0,4,4.0,0,4.0,2.0,0,5,1,1.0,2,21969.0,False,True,False,True,False
0,37.0,1,17.0,1,2,3.0,1,3.0,2.0,1,3,0,1.0,1,27185.0,False,True,False,True,False
0,50.0,1,26.0,1,2,3.0,3,3.0,3.0,1,4,1,1.0,3,26245.0,False,False,True,True,False
0,53.0,1,12.0,1,2,3.0,2,3.0,3.0,0,5,1,0.0,0,17450.0,True,True,False,False,True
0,38.0,3,8.0,1,2,4.0,2,3.0,4.0,0,5,1,1.0,0,20249.0,False,True,False,True,False
1,29.0,1,6.0,1,2,3.0,0,3.0,1.0,0,1,0,0.0,2,17058.0,True,False,False,False,True
0,37.0,3,15.0,1,3,3.0,1,4.0,2.0,0,2,1,0.0,1,23834.0,False,False,True,True,False
0,36.0,3,9.0,0,3,4.0,1,3.0,1.0,0,3,1,0.0,1,22644.0,True,False,True,True,False
1,42.0,3,7.0,0,4,4.0,2,3.0,2.0,1,4,0,3.0,0,24671.0,True,True,False,False,True
1,41.0,1,8.0,0,2,5.0,0,3.0,5.0,1,3,0,0.0,2,17778.0,True,True,False,True,False
0,28.0,1,27.0,1,2,3.0,0,3.0,2.0,0,2,0,0.0,2,17713.0,True,False,True,False,False
0,30.0,1,30.0,1,3,4.0,0,3.0,2.0,0,3,1,1.0,2,20879.0,True,True,False,False,True
0,32.0,1,16.0,1,1,3.0,1,3.0,3.0,0,1,0,0.0,1,26244.0,True,False,True,False,True
0,33.0,1,9.0,1,4,4.0,0,3.0,2.0,0,3,1,2.0,2,21746.0,False,True,False,False,True
0,42.0,1,10.0,1,2,3.0,4,3.0,2.0,0,1,0,0.0,4,34232.0,True,False,False,True,False
1,27.0,3,8.0,0,3,5.0,4,4.0,3.0,1,5,1,1.0,4,17517.0,True,False,True,False,True
0,49.0,1,16.0,0,2,3.0,4,5.0,1.0,1,3,0,0.0,4,33665.0,False,True,False,False,True
0,35.0,1,15.0,0,3,4.0,1,3.0,2.0,1,4,1,1.0,1,25685.0,True,True,False,False,False
0,32.0,1,11.0,1,2,4.0,2,3.0,1.0,0,1,0,1.0,0,24679.0,True,True,False,False,True
0,42.0,1,19.0,1,3,4.0,0,3.0,5.0,1,3,1,1.0,2,23444.0,True,True,False,False,False
0,29.0,1,12.0,0,2,3.0,0,3.0,2.0,0,3,0,1.0,2,18131.0,True,False,True,True,False
0,30.0,1,9.0,1,2,3.0,0,3.0,5.0,0,3,0,1.0,2,17097.0,False,True,False,False,False
0,43.0,1,28.0,0,3,4.0,2,3.0,4.0,0,2,0,1.0,0,23943.0,False,False,True,True,False
0,29.0,1,13.0,1,2,3.0,2,3.0,2.0,1,3,0,0.0,0,21623.0,True,True,False,True,False
0,43.0,1,33.0,0,3,4.0,1,5.0,5.0,1,3,0,1.0,1,31869.0,False,False,True,True,False
0,34.0,1,6.0,0,3,1.0,0,3.0,3.0,0,1,1,1.0,2,18280.0,True,True,False,False,True
0,34.0,1,33.0,0,3,3.0,0,4.0,3.0,0,3,1,0.0,2,17311.0,True,False,True,False,True
0,36.0,1,9.0,1,3,1.0,2,5.0,7.0,0,1,1,2.0,0,21842.0,True,True,False,True,False
1,29.0,1,6.0,1,3,4.0,0,5.0,7.0,0,3,0,2.0,2,17362.0,True,False,False,False,True
0,42.0,1,26.0,1,3,4.0,2,5.0,4.0,0,1,0,1.0,0,21750.0,True,True,False,True,False
0,42.0,3,13.0,0,4,4.0,1,3.0,5.0,1,2,0,2.0,1,32269.0,True,True,False,False,True
0,39.0,3,17.0,0,4,4.0,2,3.0,3.0,0,4,0,3.0,0,24021.0,True,True,False,True,False
0,46.0,1,16.0,1,3,4.0,2,4.0,2.0,0,4,1,1.0,0,21026.0,True,True,False,True,False
0,51.0,1,7.0,1,3,5.0,0,3.0,4.0,0,3,0,1.0,2,22368.0,True,False,True,False,False
1,29.0,1,24.0,1,2,4.0,0,3.0,2.0,1,3,0,1.0,2,17389.0,True,False,True,False,True
0,28.0,3,7.0,1,4,4.0,2,4.0,2.0,1,1,0,2.0,0,25027.0,False,False,True,True,False
0,41.0,1,28.0,0,3,3.0,2,3.0,4.0,1,5,0,0.0,0,20467.0,False,True,False,True,False
0,30.0,1,6.0,1,2,4.0,2,3.0,2.0,1,2,1,1.0,0,20126.0,True,True,False,False,False
0,33.0,3,13.0,1,3,4.0,2,3.0,3.0,0,5,1,2.0,0,23688.0,True,False,True,False,True
0,30.0,3,27.0,1,3,4.0,2,3.0,4.0,0,1,1,1.0,0,25609.0,True,False,True,True,False
